Pct,Modèle,Acc,Prec,Rec,F1,T_Train,T_Pred
0.8,NN_scratch,0.6141514648977335,0.5294318017276393,0.6141514648977335,0.5667053569760695,54.24606275558472,0.05689120292663574
0.8,RN,0.6384742951907131,0.5479158142046485,0.6384742951907131,0.5884591207323489,35.52264142036438,0.05931687355041504
0.8,SVM,0.5865118850193477,0.5063055813926894,0.5865118850193477,0.5414660192193899,569.741180896759,199.5225784778595
0.8,KNN,0.6241017136539525,0.5462852825278603,0.6241017136539525,0.5784323901163719,0.09879732131958008,1.1678404808044434
0.6,NN_scratch,0.45163073521282476,0.29685283411550273,0.45163073521282476,0.35443277657114797,25.88411259651184,0.07682132720947266
0.6,RN,0.4720840243228303,0.3111065269399864,0.4720840243228303,0.37135355156428224,35.48123908042908,0.06002640724182129
0.6,SVM,0.43725815367606413,0.275760681811937,0.43725815367606413,0.33642921957347577,313.1593074798584,138.93161535263062
0.6,KNN,0.4588170259812051,0.30200658268383496,0.4588170259812051,0.3603496650041572,0.03858375549316406,1.0302231311798096
0.4,NN_scratch,0.32338308457711445,0.14332324511766417,0.32338308457711445,0.19674649707598577,20.19181489944458,0.039908409118652344
0.4,RN,0.32669983416252074,0.15267925675895488,0.32669983416252074,0.20459781121013967,18.16367506980896,0.06001424789428711
0.4,SVM,0.2996130458817026,0.1244152755445002,0.2996130458817026,0.17545650365980062,126.80793142318726,81.50471925735474
0.4,KNN,0.3228302929795467,0.13294894662916623,0.3228302929795467,0.18756708880398373,0.038770437240600586,0.7749292850494385
0.2,NN_scratch,0.23991155334438916,0.06695607916562028,0.23991155334438916,0.10417578979186869,9.554617881774902,0.03950834274291992
0.2,RN,0.2443338861249309,0.06954645742575072,0.2443338861249309,0.10725593522552752,10.831103801727295,0.05892682075500488
0.2,SVM,0.22277501381978995,0.06069397945271627,0.22277501381978995,0.09520079571785926,17.777045249938965,26.043880462646484
0.2,KNN,0.23659480375898287,0.06646375557788546,0.23659480375898287,0.10306979885050466,0.018085002899169922,0.4136786460876465
